Date,Price,Open,High,Low,Vol.,Change %
9/25/19,477.25,481,482.25,476.25,34.84K,-0.93%
9/24/19,481.75,481.75,484.25,477.5,38.23K,-0.26%
9/23/19,483,485,487.5,481.25,28.54K,-0.26%
9/20/19,484.25,486.5,491.25,483.5,39.95K,-0.77%
9/19/19,488,489.25,492,484.5,49.57K,-0.31%
9/18/19,489.5,484.25,492.5,481.75,49.98K,1.08%
9/17/19,484.25,487.75,487.75,480.75,49.22K,-0.92%
9/16/19,488.75,488,490,482.25,48.64K,0.62%
9/13/19,485.75,485.38,490.88,480.62,0.01K,0.00%
9/12/19,485.75,484.25,489,482,0.01K,1.73%
9/11/19,477.5,489,489,479.25,0.03K,-1.44%
9/10/19,484.5,476.75,485.5,468,0.10K,2.11%
9/9/19,474.5,458.5,475,458.5,0.06K,3.10%
9/6/19,460.25,458.5,461,458.5,0.01K,-0.81%
9/5/19,464,462.25,465.75,462,0.09K,1.70%
9/4/19,456.25,450.5,459,448.5,0.35K,2.01%
9/3/19,447.25,451.5,451.5,443.5,0.71K,-0.89%
8/30/19,451.25,467.5,467.5,450,4.87K,-3.94%
8/29/19,469.75,472.25,474,468.5,11.22K,-0.53%
8/28/19,472.25,473.75,475,465.75,15.98K,-0.32%
8/27/19,473.75,472.75,477.5,470.75,22.70K,0.16%
8/26/19,473,474,480,470.75,26.10K,-0.47%
8/23/19,475.25,466.75,475.75,461.25,50.83K,1.71%
8/22/19,467.25,462.75,470.5,460.75,28.82K,1.03%
8/21/19,462.5,460,463,456,29.73K,0.54%
8/20/19,460,464.5,468.75,456.75,36.77K,-1.18%
8/19/19,465.5,469,470.5,464,37.68K,-1.12%
8/16/19,470.75,470.25,473,467.25,43.36K,0.37%
8/15/19,469,475.75,477.25,468.5,50.56K,-1.00%
8/14/19,473.75,474.75,480,471.25,54.94K,0.37%
8/13/19,472,471,478.75,465.5,80.02K,0.05%
8/12/19,471.75,500,502,466.5,102.00K,-5.56%
8/9/19,499.5,498.25,505.25,496,80.31K,0.20%
8/8/19,498.5,489.5,502.75,486,93.53K,2.10%
8/7/19,488.25,484,490.25,477.5,69.55K,0.88%
8/6/19,484,493,495.75,482.75,58.66K,-2.12%
8/5/19,494.5,490.25,495,479.25,70.66K,0.76%
8/2/19,490.75,479.25,491.5,476,76.64K,3.15%
8/1/19,475.75,486.75,488.5,471.75,79.62K,-2.36%
7/31/19,487.25,497.5,500.5,484.5,64.06K,-2.01%
7/30/19,497.25,502.25,503.25,495,47.67K,-1.24%
7/29/19,503.5,495.25,507.25,492.5,63.10K,1.51%
7/26/19,496,499.5,500.25,493.5,41.87K,-0.70%
7/25/19,499.5,497.75,507.5,492.25,66.90K,0.35%
7/24/19,497.75,487.25,498.75,487.25,61.74K,2.15%
7/23/19,487.25,487.75,493.5,483.25,57.81K,0.00%
7/22/19,487.25,505.25,505.25,487,69.56K,-3.03%
7/19/19,502.5,494.75,516.75,492.5,67.72K,1.82%
7/18/19,493.5,504,505.25,493,59.02K,-2.37%
7/17/19,505.5,507.25,514,502,40.00K,-0.39%
7/16/19,507.5,507.75,510,501,51.26K,-0.05%
7/15/19,507.75,524.25,531.5,506,68.19K,-5.31%
7/12/19,536.25,535,538.5,535,0.05K,0.00%
7/11/19,536.25,514.25,535.5,514.25,0.07K,4.79%
7/10/19,511.75,506,512.5,506,0.14K,0.39%
7/9/19,509.75,513.75,513.75,508.5,0.15K,-1.35%
7/8/19,516.75,520,521.5,513,0.19K,-0.48%
7/5/19,519.25,511.5,520.5,511.5,0.46K,0.24%
7/3/19,518,504,518.5,503.75,0.87K,2.88%
7/2/19,503.5,514,514.75,502,0.62K,-2.04%
7/1/19,514,532,532,511.75,0.86K,-2.65%
6/28/19,528,547.75,558,525.75,2.99K,-3.56%
6/27/19,547.5,545.25,555.25,541.25,19.41K,0.69%
6/26/19,543.75,535.5,545.25,532.25,38.79K,1.49%
6/25/19,535.75,540.25,545.5,534,35.00K,-0.42%
6/24/19,538,526,540,522.25,35.35K,2.28%
6/21/19,526,527.5,529.75,523,43.12K,-0.09%
6/20/19,526.5,520.75,529,515.5,43.11K,0.81%
6/19/19,522.25,530.25,531,514.25,73.04K,-1.74%
6/18/19,531.5,539.75,541,525.25,62.46K,-1.48%
6/17/19,539.5,540.25,549.25,537.5,66.17K,0.19%
6/14/19,538.5,535.5,544,530.75,80.19K,0.56%
6/13/19,535.5,526,536.5,524.75,80.27K,1.76%
6/12/19,526.25,519.75,528,513,98.89K,1.59%
6/11/19,518,504,518.75,500.25,93.40K,2.07%
6/10/19,507.5,505.25,508.5,493.25,70.59K,0.59%
6/7/19,504.5,511,512.75,502,95.65K,-1.08%
6/6/19,510,492,514,487.75,126.52K,3.92%
6/5/19,490.75,507,508.5,488.5,95.35K,-3.25%
6/4/19,507.25,526,529,501.25,116.94K,-2.41%
6/3/19,519.75,505.75,522.75,503,92.33K,3.33%
5/31/19,503,514.5,520,500.75,107.97K,-2.24%
5/30/19,514.5,488.75,515,482,101.11K,4.89%
5/29/19,490.5,515,521.75,487.5,126.55K,-2.82%
5/28/19,504.75,495,509.25,494.5,107.85K,3.80%
5/26/19,486.25,486.25,486.25,486.25,-,-0.66%
5/24/19,489.5,469.75,490.75,467.25,74.19K,4.09%
5/23/19,470.25,473,485.5,466.25,78.86K,-0.53%
5/22/19,472.75,475.75,481,468.5,65.95K,-1.25%
5/21/19,478.75,486.25,492.75,474,99.49K,0.10%
5/20/19,478.25,469.75,484,468,86.58K,2.85%
5/17/19,465,469,473.25,462.5,74.17K,-0.43%
5/16/19,467,446.25,468.5,446.25,75.27K,4.07%
5/15/19,448.75,451.5,464,447,85.02K,2.16%
5/14/19,439.25,440.12,450.5,437.88,0.00K,1.86%
5/13/19,431.25,422.75,428.5,422.75,0.24K,2.92%
5/10/19,419,420.5,420.5,417.75,0.20K,-0.65%
5/9/19,421.75,425.5,425.5,424.25,0.02K,-2.20%
5/8/19,431.25,430,430,430,0.05K,0.17%
5/7/19,430.5,422.75,432,422.75,0.09K,0.58%
5/6/19,428,424.75,426.25,422,0.03K,0.00%
5/3/19,428,427.5,437,426,0.11K,-1.21%
5/2/19,433.25,428.5,438.25,428.25,0.28K,1.94%
5/1/19,425,420,426.5,419.5,0.85K,1.55%
4/30/19,418.5,424,426,416.25,5.05K,-1.93%
4/29/19,426.75,436.25,439.75,425,31.18K,-1.90%
4/26/19,435,433.5,439,433.25,31.93K,0.06%
4/25/19,434.75,430.75,437.5,428.25,37.53K,0.58%
4/24/19,432.25,438,439.5,429.75,37.32K,-1.48%
4/23/19,438.75,435.25,441.25,433,47.31K,0.69%
4/22/19,435.75,444.25,444.25,435.25,39.27K,-2.19%
4/19/19,445.5,445.5,445.5,445.5,-,0.28%
4/18/19,444.25,447.25,448.25,439.25,44.04K,-0.62%
4/17/19,447,446.5,450,444.75,42.63K,0.45%
4/16/19,445,458.75,460.25,442.25,90.38K,-3.16%
4/15/19,459.5,463.75,464,457.75,79.73K,-1.08%
4/12/19,464.5,462,465.25,457.5,64.97K,0.87%
4/11/19,460.5,457,462.5,456.75,78.54K,0.55%
4/10/19,458,459,461.75,455.5,65.28K,-0.33%
4/9/19,459.5,462,462.5,456.25,89.06K,-1.24%
4/8/19,465.25,467.25,471,461.75,83.29K,-0.53%
4/5/19,467.75,469,469.5,464.25,89.21K,-0.64%
4/4/19,470.75,471,477.5,468,70.27K,-0.05%
4/3/19,471,463,472.75,463,61.89K,1.51%
4/2/19,464,463.5,465.75,456,48.16K,0.27%
4/1/19,462.75,459.5,468.25,456,61.27K,1.09%
3/29/19,457.75,463.75,464.75,452.5,72.18K,-1.45%
3/28/19,464.5,468.5,469.25,459.5,49.57K,-1.06%
3/27/19,469.5,470,471.75,466.5,61.16K,0.05%
3/26/19,469.25,470,478,467,83.74K,-0.05%
3/25/19,469.5,466.5,471.75,463,59.71K,0.75%
3/22/19,466,465.5,473.75,463.75,73.01K,-0.11%
3/21/19,466.5,464.5,467.5,458,62.81K,0.38%
3/20/19,464.75,456.75,465,454.75,53.59K,1.81%
3/19/19,456.5,458.5,462.5,453.75,53.50K,-0.05%
3/18/19,456.75,463.25,464,454.5,58.39K,-1.19%
3/15/19,462.25,452.5,463,448.5,67.72K,2.21%
3/14/19,452.25,447.88,460.62,446.88,-,2.73%
3/13/19,440.25,439.75,441.5,438.5,0.01K,-1.34%
3/12/19,446.25,424,443,424,0.02K,5.68%
3/11/19,422.25,430.25,430.25,427.75,0.03K,-2.43%
3/8/19,432.75,435.5,437,435.5,0.03K,0.29%
3/7/19,431.5,435.25,437.25,435.25,0.07K,-2.04%
3/6/19,440.5,449.25,450.5,443.5,0.15K,-3.03%
3/5/19,454.25,446,454.25,445.75,0.33K,1.68%
3/4/19,446.75,454.75,454.75,446,0.88K,-1.60%
3/1/19,454,452.5,457.75,440.5,2.21K,0.33%
2/28/19,452.5,460.25,461,452.25,4.22K,-1.84%
2/27/19,461,460.25,467.75,458.25,15.76K,0.16%
2/26/19,460.25,467,468,456.25,35.05K,-1.39%
2/25/19,466.75,489.75,490,466.25,45.91K,-4.11%
2/22/19,486.75,488.5,493,484.5,50.63K,0.05%
2/21/19,486.5,480.5,491.5,480.25,49.59K,1.20%
2/20/19,480.75,490,493.5,475.75,78.09K,-1.84%
2/19/19,489.75,502.5,505.25,488.5,74.21K,-2.78%
2/18/19,503.75,503.25,503.75,503,-,0.10%
2/17/19,503.25,503.5,503.5,502.88,-,-0.20%
2/15/19,504.25,507.75,508.75,499.25,79.76K,-0.54%
2/14/19,507,521.5,522.5,506,103.16K,-2.92%
2/13/19,522.25,519.75,524,518.75,74.96K,0.43%
2/12/19,520,518.5,520.75,514.5,82.84K,0.34%
2/11/19,518.25,517.25,519,512,85.56K,0.19%
2/8/19,517.25,514.75,522.25,513.5,112.34K,0.78%
2/7/19,513.25,525.25,525.25,512.5,112.35K,-2.42%
2/6/19,526,527,531.25,524.25,73.14K,-0.24%
2/5/19,527.25,525.25,528.25,520.5,73.34K,0.29%
